string,n,frequency
falsehoods about my,3,1
place precisely,2,1
man laid hands,3,1
almighty god according to,4,1
wonder and thanksgiving,3,1
enos in,2,1
sent forth from the presence,5,1
hearken unto my,3,4
to hearken to my,4,1
the son of man be,5,2
to some few,3,1
patriarchal reign even in,4,1
years the earth,3,1
professors of religion and was,5,1
have had,2,1
were spirits and he saw,5,1
they who keep their,4,2
that enoch journeyed in,4,1
breath of life,3,3
soon became general among,4,1
the eleventh chapter of,4,1
desiring a,2,1
said unto enoch zion,4,1
lord said unto me abraham,5,1
heat and the barrenness thereof,5,1
unto this day and i,5,1
that methuselah,2,3
thee before,2,1
they were created in,4,1
been upon me wherefore,4,1
earth as with a,4,1
i now therefore have come,5,1
known in what watch,4,1
of them from the book,5,1
prophets pastors teachers evangelists and,5,1
for no unclean thing,4,1
take his clothes and,4,1
the gods set,3,1
this and,2,1
of that light i,4,1
cause of,2,2
the seed of jacob upon,5,1
married at the house of,5,1
gave us directions that i,5,1
primitive church namely apostles prophets,5,1
not visible to the,4,1
was also the priest of,5,1
company,1,2
compassion upon the,3,1
would call them and they,5,1
which are like unto,4,1
being of,2,2
and earthquakes in divers places,5,1
and behold i will shut,5,1
the teachers of religion of,5,1
hundred and ten years and,5,1
mercy upon,2,1
who were the daughters,4,1
breastplate as,2,1
and deception had fled forever,5,1
the gospel and administer in,5,1
taught,1,7
great one is because,4,1
as he translated with the,5,1
desert,1,1
earth trembled and,3,1
of the field and for,5,1
by joseph smith a translation,5,1
of by the sea,4,1
created of the same he,5,1
abraham abraham behold my name,5,1
which held me,3,1
into the garden of,4,1
them be for signs,4,1
atonement of,2,1
after many days an,4,1
because it above,3,1
after the tribulation of,4,3
severe than before,3,1
angels descending out of,4,2
for mine own,3,2
entertaining to some thousands who,5,1
and is not this endless,5,1
the priesthood according,3,1
hear of,2,2
is rich,2,1
we believe that he,4,1
remained,1,1
unto the ends,3,1
our lord,2,1
cause to,2,3
took glory,2,1
do as i,3,1
of egypt therefore,3,2
soul shall live because of,5,1
the foibles of human nature,5,1
greatly multiply thy sorrow and,5,1
kingdom until this,3,1
possible that man,3,1
there was no poor,4,1
knew and would know,4,1
eat and also,3,1
not for they were shut,5,1
show them unto,3,1
who was the daughter of,5,2
they were egyptian,3,1
his elect from the,4,1
had a people,3,1
might be asked,3,1
me as to,3,1
hands on me and ordained,5,1
my youth,2,1
for their hearts were,4,1
lack wisdom let,3,1
came down from,3,1
fear for the judgments,4,1
of that servant,3,1
end to my,3,1
earth the,2,1
excitement my,2,1
of his son,3,1
josiah,1,1
through any neglect,3,1
hear my,2,1
finish the,2,1
came to the,3,2
heaven and all,3,1
could not have the,4,1
stated,1,4
the inhabitants thereof died,4,1
in the state of pennsylvania,5,1
sands so shall,3,1
begat of her who was,5,1
their more mysterious,3,1
excitement on,2,1
translated with,2,2
moses did,2,1
many other things connected,4,1
my endeavors to preserve them,5,1
i spake,2,6
i abraham was sixty and,5,1
rebelled against me and,4,1
my natural eyes could,4,1
i hold,2,1
made,1,56
with him face to face,5,1
and where is thy glory,5,1
for the gods had not,5,1
glory to bring to pass,5,1
the midst of zion and,5,1
own hand,2,2
and daughters,2,16
set them in the expanse,5,1
when i came to,4,1
sand upon the sea shore,5,1
me for i am the,5,1
testament and that he acted,5,1
present design i,3,1
shall appear the,3,1
after my marriage,3,1
he said that that prophet,5,1
world and,2,6
flesh is come before,4,1
voice was unto me,4,1
who were opposed,3,1
to clothe,2,1
destruction of the wicked which,5,1
mack,1,2
two facts exist behold,4,1
unto thee to declare unto,5,1
the heaven and of,4,1
man lifted up on the,5,1
not cease to call upon,5,1
be known,2,2
fulfil,1,1
and laughed and his angels,5,1
expressed at,2,1
natural strength like unto,4,1
offering up their children unto,5,1
those planets,2,1
us prepare the waters to,5,1
in and there,3,1
place of it was situated,5,1
the appointment,2,1
seed after,2,6
i heard,2,1
that he would call,4,1
i created it,3,1
eat all the,3,1
now after the priest,4,1
as i have such facts,5,1
all those which belong to,5,1
to disabuse the,3,1
men in their,3,1
that season,2,1
which i prepared for,4,1
thy brethren,2,4
angels of god in heaven,5,1
behold there are many worlds,5,1
me look and,3,3
unto the fathers concerning the,5,1
for thou art,3,1
abraham took to wife,4,1
the second time,3,1
instructor of,2,1
respecting what the lord was,5,1
come nigh unto,3,1
she is thy sister,4,1
they knew every man,4,1
desire shall be to thy,5,1
abomination,1,3
have come down to visit,5,1
first of all we know,5,1
and sophistry to prove their,5,1
he said god,3,1
contempt saying it was all,5,1
people will,2,1
among thy brethren,3,1
these grievous judgments would,4,1
when they were created,4,2
now the lord god caused,5,1
and made an offering unto,5,1
i hope,2,1
understandings,1,1
be dry,2,1
the record of the father,5,1
this is my work,4,1
circumstances of my,3,2
mercy shall go,3,1
deep and my,3,1
things which are spiritual,4,1
the directions given to,4,1
christ all mankind may,4,1
my object in,3,1
was laid under the water,5,1
some said he was,4,1
myself to prayer and,4,1
above the firmament,3,1
the lord satan tempted,4,1
fallen into our hands from,5,1
down for,2,1
for them if they,4,1
at least to make the,5,1
the souls that we had,5,1
that all men must repent,5,1
they would be,3,1
that day the holy ghost,5,1
shall be to thy husband,5,1
my life by,3,1
they gone astray and have,5,1
the heavens thereof,3,1
went out and,3,1
some desire to be united,5,1
of man in heaven and,5,1
and declare his gospel unto,5,1
that evil servant shall say,5,1
lord had spoken with adam,5,1
to the heart of,4,1
same that is called john,5,1
of the generations,3,1
were resting,2,1
on the other hand,4,1
saying depart from me satan,5,1
be to thy husband,4,1
enoch that he led,4,1
by a whirlwind in,4,1
said would in,3,1
should come unto adam to,5,1
that i may murder,4,1
acted under,2,1
had seed and,3,1
translation of the bible,4,1
of enoch and so,4,1
the mountains and upon the,5,1
the lord called his,4,1
hired,1,1
by day,2,1
isaac hale,2,1
and thistles shall it bring,5,1
ghost but that this should,5,1
and the rivers shall turn,5,1
an hundred and twenty,4,1
the heathen utterly refused to,5,1
lord had said unto,4,3
particles of,2,1
over the fowl of,4,4
was a descendant,3,1
meaning,1,1
believe it not and,4,1
and farmed with,3,1
again enoch wept,3,1
the heavens above and,4,2
manner aside from the abodes,5,1
from the four quarters,4,2
object in going to,4,1
all united to persecute,4,1
obeying honoring and sustaining the,5,1
against thee abraham my,4,1
say unto one i say,5,1
the last days two shall,5,1
relative to him and,4,1
male,1,3
testimony is no less,4,1
both the priests and the,5,1
recollects my,2,1
repent for,2,1
reclaimed me i was,4,1
drinking and marrying and giving,5,1
seek after,2,1
but as it was,4,1
made them and he hath,5,1
sects was right that i,5,1
cried with a,3,3
had not the,3,1
sober senses could translate and,5,1
he journeyed,2,1
to see if they,4,1
to know which of,4,1
make,1,19
even the right of the,5,1
as we came on our,5,1
and behold all things which,5,1
of very tender,3,1
the flesh i,3,1
waxed hard and,3,1
sands so,2,1
he also brought,3,1
expression,1,1
many,1,53
what is the,3,1
lesser light they set the,5,1
therefore offered and promised,4,1
the world when,3,1
glory in the same kingdom,5,1
weeping and,2,2
in heaven the,3,1
third time the cock,4,1
only begotten thou,3,1
shall receive,2,2
my own mouth from the,5,1
they gone astray and,4,1
for his glory,3,1
winter neither on the,4,1
it was on the morning,5,1
among them but the,4,1
it was troubled and,4,1
is the end of,4,1
moses that he beheld him,5,1
remember,1,1
know and,2,1
wife father,2,3
the east of the,4,1
earth which,2,1
were equally zealous in endeavoring,5,1
and i lay overwhelmed in,5,1
unto the god,3,2
fulfilled i,2,1
name in a strange,4,1
in truth and righteousness,4,1
anxieties i had never as,5,1
the other left and,4,1
pertaining to the kingdom,4,1
for saying that,3,1
of my heart,3,2
he will yet reveal many,5,1
source from whence they sprang,5,1
my sins and follies,4,1
wives the name of one,5,1
the earth after their,4,3
finished and i god saw,5,1
became pleasant to the,4,1
had now got my mind,5,1
peter james,2,1
for he truly covenanted with,5,1
void for as,3,1
some time,2,1
to face and he said,5,1
needed,1,1
when i got,3,1
how is,2,3
who would not have bowed,5,1
the lord face to,4,1
declare all these words,4,1
and heard a voice but,5,1
unalterable decree that a remnant,5,1
two years old when i,5,1
their doom and the whole,5,1
removed the earth i,4,1
exist being now the,4,1
variation which having done,4,1
over them even all the,5,1
good report or praiseworthy,4,1
lord was upon moses,4,1
and another,2,1
vision of the almighty,4,2
may murder and get,4,1
and kingdom,2,1
thine only begotten even,4,1
sight and good for food,5,1
gods commanded the man saying,5,1
shall be darkened and a,5,1
an oven and,3,1
a book of remembrance we,5,1
in at the,3,1
god which should come upon,5,1
at length,2,3
be carnal,2,1
i shall endeavor to,4,1
they divided the,3,1
and some for,3,1
mark,1,1
and laughed,2,1
was bright and they divided,5,1
the at the residence of,5,1
as he said upon you,5,1
was caught away,3,1
pass that they,3,1
spake unto moses,3,5
that enoch looked upon the,5,1
he quoted the fifth verse,5,1
means of the and,4,1
away my life,3,3
immediately connected with the,4,1
to another,2,1
peace and rest for me,5,1
cut him asunder and shall,5,1
fathers having turned,3,1
turned away,2,1
the beginning and the end,5,1
afterwards remain in,3,1
such things had ceased,4,1
void and i caused darkness,5,1
and hold all the creations,5,1
no not the angels,4,1
else where is,3,1
land and the,3,2
oliver the,2,1
and gave heed and,4,1
yes one ray,3,1
extract from the translation,4,1
unto me behold thy wife,5,1
it was spiritual in,4,1
for they are whole,4,1
he slept and they,4,1
but of the fruit,4,1
do but,2,1
around his person,3,1
he further stated that the,5,1
from a pure personage dictated,5,1
and i god called the,5,3
it in order,3,1
were buried and carefully,4,1
the earth were finished,4,1
zealous in,2,1
to worship gods of,4,1
mass,1,1
under the firmament,3,1
heaven and abode upon,4,1
upon uncertainty as a,4,1
leaving manchester,2,1
olives the,2,1
my spirit shall,3,1
day and the darkness,4,2
in being honest true,4,1
waters which were under,4,1
creature after his kind,4,2
i should join,3,1
show unto you,3,1
and in those mansions where,5,1
down out of heaven and,5,1
to the other this is,5,1
set them in the firmament,5,1
he could not,3,1
any person needed wisdom from,5,1
by their idolatry but i,5,1
upon which thou,3,8
expanse so that it divided,5,1
do ye not,3,1
answer to,2,1
unto no man until i,5,1
quarters of,2,2
people saying hearken and give,5,1
that i abraham,3,2
this confession no,3,1
plates for the purpose,4,1
person was glorious,3,1
beguile eve,2,1
the gods said,3,10
was called the same that,5,1
translation was correct more,4,1
almost immediately after the heavenly,5,1
for they were all wrong,5,1
and all the children of,5,1
man whose spirit,3,1
come unto the,3,1
to come to the,4,1
planted a garden eastward in,5,2
unto death yet,3,1
remember that,2,1
earth i obtained a lever,5,1
upon the land which,4,1
one above the other,4,2
of many nations a,4,1
new testament and that,4,1
earth beneath in all,4,1
saying blessed be the name,5,1
lord god caused,3,3
this should be,3,1
him they came up,4,1
is called the,3,1
him with the great sound,5,1
all the time employed in,5,1
sudden as from the midst,5,1
this was the book of,5,1
name of the son and,5,1
god caused the,3,1
sons to repent,3,1
crowned at the right,4,1
she shall be called,4,2
darkness reigned upon the face,5,1
one touch,2,1
called adam,2,1
the floods that he,4,1
upon the earth after his,5,1
displeased god and,3,1
unto a mountain on,4,1
reserved in chains of darkness,5,1
the disciples came unto,4,1
thee except thou,3,1
shall dwell there,3,1
therefore we will form,4,1
and adam was obedient unto,5,1
voice from heaven saying enoch,5,1
was after the time,4,1
enoch my son prophesy unto,5,1
worship god,2,1
the angels of god,4,1
shown unto me,3,1
day and the,3,6
handle the harp,3,1
offer me up and,4,1
with my native cheery temperament,5,1
father turned,2,1
art and from whence thou,5,1
by the sea east i,5,1
field upon thy,3,1
excitement and conversing with,4,1
who stood above me,4,1
groping as,2,1
now learn,2,1
immediately a personage,3,1
thus employed i was,4,1
he discerned them by,4,1
i could not deny it,5,1
that i turned and,4,1
messenger called for,3,1
number of them and,4,1
his cry unto,3,1
the name of mine,4,3
in darkness and confusion or,5,1
the power of some,4,1
thou therefore the reckoning,4,1
while all men were resting,5,1
to you the feelings of,5,1
sometimes abroad and,3,1
herb for meat and it,5,1
account of the,3,4
for they were,3,2
hearkened and heard,3,1
how to,2,1
that bless,2,1
and he commanded us to,5,1
seduce,1,1
at the coming,3,1
wives and they,3,1
shall come after me,4,1
william don carlos and,4,1
i caused,2,2
i baptized him first and,5,1
garden of eden to,4,3
moon shall not give her,5,1
neither shall ye touch it,5,1
but the lord said,4,2
and the lord broke,4,1
and especially when corruption had,5,1
solomon mack my brothers,4,1
they were good and,4,3
version,1,1
not formed anything but,4,1
should spring all the kingdoms,5,1
when i was come near,5,1
and he oliver,3,1
or record called the,4,1
life behold i lifted up,5,1
reality speak,2,1
and it was filled,4,1
for good and,3,1
noah after his own,4,1
serpent was more subtle,4,1
men they were no,4,1
of his house,3,1
prudence,1,1
the footstool,2,1
or dwell in,3,1
but spiritually were,3,1
nations and thou,3,1
the work of,3,2
restoration of,2,1
righteous be shed,3,1
to increase until the room,5,1
voice for their hearts were,5,1
the of april i,4,1
and he called the,4,1
of that light,3,1
dwelt in the midst of,5,1
hundred and thirty,3,4
to make the attempt,4,1
him who is,3,2
my natural eyes could not,5,1
on me and ordained me,5,1
we gazed we admired,4,1
that you may have an,5,1
and creeping things and,4,2
art one in,3,1
that i have created them,5,1
thy seed and shall rise,5,1
begat enos eight hundred,4,1
will not hearken,3,1
not upbraid i might,4,1
in my hot,3,1
which had seized,3,1
darkness to come up upon,5,1
he should be cast,4,1
the hills and,3,1
your god and,3,1
of the time,3,2
of building his kingdom,4,1
by mormon and his faithful,5,1
can behold,2,2
i am god,3,3
on the seventh time,4,3
surprise when again,3,1
but for the elect sake,5,1
the verse to the last,5,1
moses that moses,3,1
brethren dwelt,2,1
through thine,2,1
made to enoch for,4,1
the first time,3,1
begotten created i,3,1
understanding,1,1
spake these words unto,4,1
father arrival in palmyra he,5,1
garden and i was,4,1
me this is,3,1
god himself,2,1
rose up against abel his,5,1
will give it it,4,1
obscure boy only between,4,1
the firmament and it,4,1
him those which were,4,1
the beginning henceforth,3,1
curse upon all people,4,1
often felt condemned,3,1
more bitter and severe than,5,1
severe,1,2
was formed was empty and,5,1
priesthood and our having been,5,1
and breathed into,3,2
world think,2,1
must join none of,4,1
called the same,3,1
upon me wherefore i,4,1
beast of the earth,4,2
think to make me deny,5,1
convenient to the village of,5,1
when i had,3,1
methuselah the son,3,1
stretched out behold i,4,1
other motive than,3,1
of sheep,2,1
any one who,3,1
and all eternity,3,1
thus employed i was put,5,1
beheld the son of man,5,2
he shall find,3,1
a strange land,3,2
wild man hath come among,5,1
fourth river,2,1
they him,2,1
the days of,3,18
abel he,2,1
and i took whom,4,1
methodists but,2,1
men were resting,3,1
be mine abode,3,1
the direction of peter,4,1
shalt surely die for,4,1
evening of the of,4,1
common vocations in life until,5,1
kindly,1,1
fiction feeds the many,4,1
join with any of them,5,2
until he the,3,1
helpless on the ground and,5,1
praying,1,1
of thy sons have sold,5,1
hand was stretched,3,1
removed the earth,3,1
it came down from,4,1
to translate the book,4,1
me and who,3,1
bless the children of noah,5,1
their plan,2,1
the people of god that,5,1
as far,2,2
the sea east,3,1
the which signifies,3,1
the catacombs,2,1
assist us,2,1
the introduction pass more directly,5,1
with clay,2,1
number of sands,3,1
face of the water,4,1
in eden,2,2
their hearts to the sacrifice,5,1
him sons and daughters,4,1
had created were good,4,1
the inhabitants of,3,3
tell him of the,4,1
own mouth from,3,1
it possible that man,4,1
shall see her they will,5,1
they go forth out,4,1
strange gods men women,4,1
i commenced,2,2
in the which shall,4,1
above every beast,3,1
flood came and,3,1
before him with,3,1
midst of this war,4,1
then said to me,4,1
a friend in a,4,1
shall come to pass,4,2
of the spirit,3,2
the first of all women,5,1
whales and every living creature,5,2
hypocrites there shall be,4,1
then said to my,4,1
between thee,2,2
the fruit of a,4,1
shall utterly be destroyed and,5,1
it and how shall,4,1
have eternal,2,1
whereon these may dwell and,5,1
is pleasant to,3,2
all the days of,4,11
the glory be thine forever,5,1
my mind that sleep had,5,1
i spake and i said,5,1
of his brow as i,5,1
order of him who,4,1
being one of those,4,1
for so we were,4,1
it not so surely,4,1
to all men indeed,4,1
i caused that he,4,1
the heavens above and things,5,1
woods,1,2
from that time forth there,5,1
hours before moses did again,5,1
the assurance,2,1
earth and the sun to,5,1
your children that all men,5,1
things bear record,3,1
inquiries of,2,1
years and begat a,4,2
many foolish errors and,4,1
do according to his commands,5,1
the borders of the,4,1
by the laying on of,5,1
he put his hand upon,5,1
soul the first,3,1
the other yet these two,5,1
of this earth,3,1
waters in the sea and,5,1
and was the cause,4,1
eaten of the,3,2
i looked,2,4
lest any,2,1
marrying and giving in marriage,5,2
fervent manner aside from,4,1
out of eden to,4,2
it seemed,2,2
again informed that the,4,1
had become,2,2
and closed,2,2
them for my,3,1
shall be hated,3,1
constituted what is called the,5,1
understood the same passages of,5,1
yet reveal many great and,5,1
nations and then,3,1
prepared for the,3,1
saw a light and heard,5,1
garden eastward in eden and,5,2
brightness and glory defy all,5,1
say blessed is he,4,1
shall be cut off from,5,1
the arrival of being the,5,1
name of his only begotten,5,1
land which we denominated,4,1
shall these things,3,1
partakers of,2,1
and obtain and not be,5,1
brother abel into thine hands,5,1
not hid from the lord,5,1
only begotten that,3,2
to take away,3,4
works neither,2,1
and it is given,4,3
in the faces,3,1
joseph,1,10
their god shall command,4,1
god set them in the,5,1
and formed,2,2
caught up by the,4,1
the tree yielding fruit,4,2
in the earth and the,5,1
immediately,1,11
and vengeance to fulfil the,5,1
was night and,3,1
every living creature that,4,4
of prophecy and,3,1
righteousness,1,15
behold enoch saw,3,1
holy place let him understand,5,1
brethren dwelt in,3,1
that an obscure,3,1
the lord jesus christ second,5,1
yet come when they,4,1
strict charges,2,1
of his lies thou,4,1
manifestation to me that i,5,1
himself to the earth,4,1
a day when he,4,1
the greater counsel,3,1
said behold we,3,1
yet it was true and,5,1
created man in the,4,1
minds of the people,4,1
the word of,3,7
severe persecution,2,1
everlasting possession when they hearken,5,1
bitter and,2,1
told thee,2,1
forth in the beginning of,5,1
spake these words,3,1
that enoch talked,3,1
moses received strength and,4,1
were the daughters of one,5,1
sins and not for,4,1
the beasts after,3,1
write some of these,4,1
in righteousness for the space,5,1
and farmed with him,4,1
they have brought upon themselves,5,1
from their righteousness,3,1
satan came among them saying,5,1
that i should baptize,4,2
to the rise and progress,5,1
were gold plates in,4,1
my power have i created,5,1
was our covering,3,1
in the midst of all,5,1
so great and incessant,4,1
had actually seen a,4,1
harris was a,3,1
how is it that,4,2
whom i have spoken for,5,1
in the dark,3,2
come down unto,3,1
gods of and i,4,1
behold all my works,4,1
ascended till he entirely disappeared,5,1
prepare an holy,3,1
stead thereof and of,4,1
in which these things,4,1
his will even as,4,1
and the giants,3,1
upon all people that fought,5,1
thee to know the,4,2
my mother lucy,3,2
became a living,3,2
and especially when,3,1
which they called,3,1
the gods said behold we,5,1
love upon,2,1
repent for thus,3,1
do wickedly shall burn as,5,1
i have found,3,2
systems practiced,2,1
the utmost gratitude of this,5,1
that those,2,2
first or the beginning of,5,1
and watered the whole,4,2
also in the midst,4,2
can in nowise,3,1
of the everlasting,3,1
of enoch was,3,1
they draw near,3,1
pastors teachers,2,1
living for thus have,4,1
now after the lord,4,1
lineage by,2,1
yet he knew,3,1
earth should stand,3,1
saying tell,2,2
ground and took his,4,1
one may have power,4,1
earnestly now,2,1
and then shall the,4,1
and in thy seed after,5,1
forbade me to join,4,1
not come again,3,2
thus behold i will,4,1
they stand in,3,1
of men for,3,1
prayer of,2,1
came up before him,4,1
then his,2,1
of pharaoh,2,8
them forth,2,1
and men began from that,5,1
told enoch all the doings,5,1
i shall ever look upon,5,1
the school he went to,5,1
true chaste benevolent virtuous and,5,1
are without affection,3,1
place where they were deposited,5,1
the east of,3,4
get more wisdom,3,1
manifested by,2,1
be punished for,3,1
had accomplished,2,1
had sunk no,3,1
the right of priesthood the,5,1
things had,2,1
i did i,3,1
is near even,3,1
high mountain,2,1
all the families of the,5,3
messiah shall,2,1
them to any person,4,1
another and shall hate,4,1
even so ye must,4,1
and great uneasiness,3,1
as i have,3,2
said let the waters under,5,1
adam glorified,2,1
worship how,2,1
adam which record,3,1
arrived at,2,1
was greatly surprised at,4,1
standing above,2,1
vision and commandments which,4,1
itself upon,2,1
gods prepared the earth to,5,1
one of them thou,4,1
thing can dwell,3,1
unto them because that,4,1
soul and wept over,4,1
of skins and clothed,4,1
they can not be,4,1
thy servant has,3,1
them by the spirit,4,1
and they shall be had,5,1
of man which i,4,1
by holy angels sent,4,1
unto me all that he,5,1
was there,2,1
as for,2,1
my natural eyes,3,1
preachers who was,3,1
the house of my wife,5,1
conceived and bare cain,4,1
a secret combination and their,5,1
classes,1,1
and was just leaving,4,1
am god man of,4,1
of wars see that,4,1
god make coats of skins,5,1
be one above the,4,1
to bring to,3,1
myself alone,2,1
fled even according,3,1
i was and,3,1
the mount and as,4,1
that were,2,2
begat and other sons,4,2
that i the,3,1
above them,2,2
christ of saints all,4,1
thou eat of,3,1
living creature that should,4,2
worship him,2,1
god for he said,4,1
contests of these parties of,5,1
wicked with,2,1
into egypt the lord said,5,1
spiritually were they,3,1
head and thou shalt,4,1
my beloved,2,3
behavior he treated,3,1
rule the,2,7
myself aloof,2,1
rain upon,2,3
greater counsel which was,4,1
affected by it and,4,1
have dominion over the,4,3
me and it seemed to,5,1
destroy the reality,3,1
distracted while millions,3,1
of the ground which,4,1
and the fowls of,4,1
spake the word of,4,1
wife his daughter emma hale,5,1
in the days,3,6
and god saw,3,2
not so surely,3,1
induced to write,3,1
children the promises made to,5,1
the second chapter,3,1
hope all things we,4,1
this day,2,6
hand the holy priesthood as,5,1
concerning every,2,1
ground the,2,1
heaven awakened the,3,1
commanded the,2,2
their likeness and,3,1
that heaven and earth,4,1
smith the prophet in,4,3
in the hearts of,4,1
anything virtuous lovely,3,1
been broken up,3,1
thus we will finish,4,1
shall esteem my words,4,1
said this was bone of,5,1
at the commencement of this,5,1
after him and,3,1
believe that men will be,5,1
and many other,3,2
soon became general among all,5,1
which are the blessings,4,1
in this history i,4,1
and deny the god of,5,1
day from,2,4
i had them,3,1
flesh and his,3,1
knowledge and,2,2
after the lord time which,5,1
divided the waters yea the,5,1
thy god sent his angel,5,1
church namely my mother,4,1
remission of sins and,4,1
the things which,3,1
continuation of a famine,4,1
he beheld also the,4,1
sister of cain was,4,1
mind at times was greatly,5,1
these days that,3,1
thereof give i,3,1
wife again and she,4,1
how is it thou,4,1
the revolutions,2,1
is not so many,4,1
size and the most elevated,5,1
were to bring forth abundantly,5,1
revolutions thereof that one,4,1
vision which i had had,5,2
loud voice,2,5
in those days therefore pray,5,1
died there came a,4,1
her who was,3,1
years and let,3,1
righteousness unto this day,4,1
i took the certificate and,5,1
second chapter of,3,1
that the god of heaven,5,1
see all these things they,5,1
opened,1,6
because of wickedness,3,1
evening until morning they,4,2
to be preached from the,5,1
was filled with,3,1
i have found favor in,5,1
be ordained,2,1
thenceforth,1,2
up by me shall,4,1
see history of the church,5,2
and they dwelt,3,1
religion none had authority,4,1
the gods also,3,1
eastward in,2,2
faces of men they,4,1
as he related them to,5,1
up i prophesied,3,1
enlightened we began to,4,1
reading the,2,1
another it was seen that,5,1
me that having been,4,1
repent of your,3,1
persecution under heaven could not,5,1
even from the presence of,5,1
be gathered together,3,3
their sins inasmuch as,4,1
unto them and their,4,1
on the housetop,3,1
the coming of the son,5,5
is rich in mercy,4,1
upon moses and,3,1
tenets and disprove all,4,1
again he quoted the fifth,5,1
them in the firmament,4,1
any earthly thing,3,1
god in heaven but my,5,1
the saying abroad among the,5,1
i had this,3,1
against me and create,4,1
firm decree wherefore,3,1
that i am he,4,1
the gods saw,3,4
eighteen hundred and twenty,4,1
after he begat noah,4,1
laughed and his,3,1
unto all nations,3,2
promises made to the,4,1
feeling ensued priest contending,4,1
retired to the woods,4,1
however it was nevertheless,4,1
let them worship how where,5,1
i prepared for the use,5,1
said what thou,3,1
started with the intention of,5,1
the fifteenth day,3,1
what constituted seers in,4,1
and thou shalt bruise his,5,1
silver mine at,3,1
had already manifested itself,4,1
they had,2,8
be cleansed by,3,1
great famine,2,1
their first estate shall be,5,1
slew him for,3,1
to spread among all,4,1
in egypt called the book,5,1
me by thy throat,4,1
as many as shall believe,5,1
you except,2,1
in an instant suddenly,4,1
to my prayers and said,5,1
thy head and thou shalt,5,1
i cause to,3,1
thy glory that,3,1
thy will be done and,5,1
their flesh be saved but,5,1
on the seventh day from,5,1
day reading the epistle,4,1
father in the month of,5,1
herewith to see,3,1
i frequently,2,1
such was,2,1
evening until morning that,4,3
posterity of all the,4,1
they had ordered,3,1
towards the south,3,1
attended their several,3,1
from the enemy which held,5,1
also that there were,4,1
were numerous upon,3,1
manner aside from,3,1
immediately after,2,4
adam knew his wife again,5,1
rested,1,3
all shall,2,1
nations for my name sake,5,1
i was therefore under,4,1
yet offer an offering unto,5,1
of all men and righteousness,5,1
and departed from,3,1
seer hath the,3,1
pass that enoch journeyed,4,1
eating and drinking and marrying,5,1
faith,1,7
likewise mine elect when they,5,1
saw noah and his family,5,1
beheld the people of,4,1
art one of,3,1
people and my fierce,4,1
this did,2,2
finding myself alone i kneeled,5,1
to all kinds of temptations,5,1
in this history,3,1
holds the keys of,4,1
days of zion in,4,1
flesh had corrupted its,4,1
should be cut,3,2
process of time,3,3
with those who keep,4,1
they ever had,3,1
and we believe,3,1
swear thy brethren by,4,1
son to take,3,1
hurt,1,1
woman thou me and,4,1
would bring the plates to,5,1
which he did,3,1
this time in my fifteenth,5,1
he beheld all the,4,1
died,1,14
sent to the school he,5,1
content,1,1
creeds were an abomination,4,1
that which is to,4,1
of such as dwell in,5,1
man shall pierce thee,4,1
honest,1,1
me among professors of religion,5,1
noah found grace,3,1
the other there shall,4,2
me shall never,3,1
a deep,2,2
this one to,3,1
may declare,2,1
it not and,3,2
firmament from,2,1
father taught me in all,5,1
and the persecution,3,1
shalt thou eat bread,4,1
stood one among,3,1
i could not get,4,1
occasion but you will,4,1
resided and my father being,5,1
firmament in the,3,1
also my father followed after,5,1
his spirit that is,4,1
to the priesthood and,4,1
and even the,3,1
of the children of men,5,2
the interesting account given,4,1
be conducted in the,4,1
and moved to palmyra ontario,5,1
beginning said unto me father,5,1
were all corrupt that,4,1
in even few words the,5,1
they will say,3,1
world was and among all,5,1
thou art just thou,4,1
were under the,3,2
in company with,3,1
doom and the whole,4,1
of october i hired with,5,1
form and,2,2
of the trees of the,5,1
that ye might be,4,1
shall show great signs and,5,1
consistent with that,3,1
not read,2,1
minds of the,3,1
with a curse and they,5,1
for this cause i,4,1
of each year and at,5,1
inhabitants thereof,2,5
was again beginning to get,5,1
had ceased,2,1
upon me that,3,2
give to,2,1
as would not hearken,4,1
and also the heavens,4,1
voice i cause the,4,1
dry and it,3,1
things which i had created,5,1
blessed the,2,3
my bones and flesh of,5,2
before the lord because of,5,1
be for,2,6
sweat of thy face,4,1
will fall upon their necks,5,1
and stood afar off and,5,1
his bowels,2,1
that i should worship,4,1
why the opposition,3,1
previous to my hiring,4,1
christ and shall deceive,4,1
it that the,3,1
thou not of and,4,1
country seemed affected by,4,1
moses for,2,2
and truth and,3,1
the comforter the peaceable,4,1
that i might know which,5,1
the lord spake these,4,1
the pattern given,3,1
me which is star,4,1
into him and breathed,4,1
he a city and,4,1
that if possible,3,1
upon with,2,1
he is in the desert,5,1
as they will repent in,5,1
and the gods said behold,5,1
gold and,2,1
intervened,1,1
but soon became,3,1
not make it otherwise and,5,1
one of us to,4,1
i created them and,4,1
they sought noah to take,5,1
beneath in all wisdom,4,1
my mother i have learned,5,1
mild pierced to the,4,1
whereof i,2,1
same things which,3,1
man behold i,3,1
if they will do,4,1
the times of reckoning and,5,1
the abomination of desolation spoken,5,2
avenged truly,2,1
the silver mine,3,1
place precisely in one,4,1
that time and that,4,1
your god and ye,4,1
possession of the,3,1
they pleased,2,1
from the place of,4,1
to make a boy of,5,1
nigh unto the,3,1
baptized owing,2,1
