string,n,frequency
mariners that wrought,3,1
town and took,3,2
but as,2,3
but at,2,2
flashes of lightning,3,2
these are mighty evil,4,1
great victory,2,1
unto a place which,4,1
the king came nigh the,5,1
by the river lawrence,4,1
morning of the next,4,2
amongst the slain,3,5
on your,2,1
her and she was puffed,5,1
of heaven,2,11
after the host of,4,1
went out in its,4,1
was turned against,3,1
of winchester,2,1
peace treaty is concluded with,5,1
freedom and where his,4,1
fare although,2,1
of and major with their,5,1
be humbled and the,4,1
earth shall learn from,4,1
with his army against them,5,1
names of the mightiest,4,1
the proclamation which,3,1
was a beautiful village,4,1
said unto caleb fear,4,1
he became overpowered having,4,1
to behold and the,4,1
was dreadful and about,4,1
were stirring up,3,1
be ensnared,2,1
from their burning and pillaging,5,1
columbia who are,3,1
grievous thorn in,3,1
out one of her tenders,5,1
was as it were a,5,1
agreed to the capitulation,4,1
in the chesapeake and along,5,1
who went out to,4,1
spoil their beauty likewise,4,1
upon her he,3,1
capture and,2,2
untamed,1,1
army in battle,3,1
wherein,1,1
the mighty goliath and shall,5,1
cried aloud and,3,1
wilkinson heard that,3,1
were preserved,2,1
even an hundred and,4,1
privateer was called the,4,1
found and,2,1
treated with the,3,1
prince regent and the chief,5,1
of the whom,3,1
scorned,1,1
up the great,3,1
great man who was born,5,1
contrive for,2,1
returned with his army in,5,1
saying verily this is a,5,1
approached towards the fort,4,1
troubled with,2,1
of chauncey came nigh unto,5,1
and continued his system of,5,1
but if,2,2
was very great,3,1
was about a thousand shekels,5,2
a band of men,4,2
a tine,2,1
kingston in the,3,1
was one of the commissioners,5,1
thunders and fought hard,4,1
choked the growth of liberty,5,1
a demonstration at baltimore they,5,1
cunningly,1,2
enemies of columbia and,4,2
the crime of drinking,4,1
upon the shore at,4,1
notwithstanding they had but,4,1
upon them neither,3,1
land of columbia of that,5,1
unable,1,8
but he,2,8
at th baltimore demonstration,4,1
acts and the people remembered,5,1
a time,2,6
two thousand five hundred,4,1
not like,2,2
weakened,1,1
upon arrive in,3,1
of the private vessels,4,1
the king pleased the people,5,1
dwelling houses they put the,5,1
mercy which,2,1
make peace for,3,1
creatures which are used for,5,1
whole force was,3,1
upon the shore he,4,1
five thousand fighting men,4,1
end of the great lake,5,1
of the captains,3,2
of war that followed after,5,1
but it,2,14
and their numbers as,4,1
with a greater,3,1
for though columbia,3,1
but in,2,8
the imaginary,2,1
save one man whose,4,1
torpedoes into practice in,4,1
waters swift,2,1
rushed forward,2,1
and fifty men and a,5,1
and their into it plentifully,5,1
squadrons and encouraged,3,1
so when they,3,1
britain was about one thousand,5,1
hour of the day and,5,1
out against them and,4,1
more than two feasts for,5,1
have weakened his understanding therefore,5,1
the army of wilkinson beard,5,1
things which come,3,1
but lo,2,2
parted asunder,2,2
of the christian era,4,13
squadrons was like,3,1
forest from whence in the,5,1
him and slew seven of,5,1
and generous,2,1
had never been known among,5,1
to preserve the,3,1
was lifted up above,4,1
of the army and carried,5,1
her daughter and her fair,5,1
and it fell hard,4,1
war by the,3,2
great noise issued from,4,1
for she had prepared,4,1
and to fight her,4,1
had previously concerted,3,1
shall lead you to glory,5,1
of the peacock of guns,5,1
after which they trembled,4,1
towards the vessel of,4,1
britain whom,2,2
an outrage which hath few,5,1
surrounding nations beheld,3,1
of the united states upon,5,1
by a man whom they,5,1
their provisions,2,1
of honored him,3,1
entangled therewith,2,1
his own hands the,4,1
arrived there the peace had,5,1
that day was,3,10
returned with his army to,5,1
banner of columbia waving,4,1
upon the servants of the,5,1
go and tell the tidings,5,1
and when came on board,5,1
war against the,3,2
his captains of hundreds fear,5,1
accordingly they,2,1
this place he sent,4,1
not numbered,2,1
and stopped the destroying engines,5,1
our swords,2,1
of heavy metal struck him,5,1
jackson and twice he,4,1
of the waters swift,4,1
chief captains who were well,5,1
the head of a man,5,1
which was granted unto him,5,1
back crossing the bridges,4,1
for they shall obtain mercy,5,1
remnants thereof,2,1
let the destroying engines loose,5,6
drum echoed through,3,1
whereof,1,7
convey ed to the city,5,1
loose their weapons of,4,1
rocky mountains reflecting in the,5,1
his brave men are they,5,1
and ye shall pay tribute,5,1
and hewed them and,4,1
with fire for your,4,1
claiborne a governor and a,5,1
men of britain against the,5,1
strong hold of maiden which,5,2
albany in,2,1
saying now forsooth have we,5,1
army of britain was,4,2
with the army at,4,1
swords as by magic shall,5,1
columbia that war,3,1
now she was,3,1
city of algiers as,4,1
king was captured,3,1
dreadful engine of destruction and,5,1
by a chief captain whose,5,1
in the morning about the,5,2
by samuel whose,3,1
and exalted his name,4,1
the strong house,3,1
army of columbia and chauncey,5,1
and strengthened her,3,1
unto the extensive country,4,1
complete the vandalism of,4,1
william was called,3,1
physicians bound up their wounds,5,1
and when the vessels,4,2
him with in their,4,1
scalping knife were raised against,5,1
like men who had,4,1
said to mean neck or,5,1
much damage was done,4,1
became ashamed and hid their,5,1
great waters,2,3
in the sublime doctrine,4,1
great lamentations over,3,1
this time all the officers,5,1
was more powerful than,4,1
the dawning of,3,5
columbia who bad,3,1
under him that,3,1
made great,2,2
covenant in,2,2
him in all,3,1
neither were they assembled together,5,1
their virtues were,3,1
were yet,2,2
the privateer was six slain,5,1
patriotic daughters of columbia,4,1
which will deform,3,1
bands of men came from,5,1
the british in,3,1
and lewis the chief captains,5,1
that in the land,4,1
against another and his,4,1
boat and when,3,1
chief captain prevail on them,5,1
fish of the deep glide,5,1
smiled,1,1
shall hearten,2,1
was so that william,4,1
for the men of columbia,5,1
prevented the of his ship,5,1
called the prince,3,1
shall we not,3,1
assailed the guards and the,5,1
days and prepared,3,1
hostile vessels,2,1
voice of caleb,3,1
was capturing,2,1
had fought under,3,1
arrive or depart,3,1
and burnt their villages,4,1
strong ship of britain called,5,1
preserved from the,3,1
to invent were used abundantly,5,1
so that the waters,4,1
land of columbia the honor,5,1
the host of miller,4,1
not taxed with drinking of,5,1
of columbia people,3,1
where dwelt,2,1
were commanded by two men,5,1
if ye go over,4,1
united states nobly and,4,1
were silent and,3,1
in the north,3,13
small place called,3,1
tip on,2,1
therefore that your,3,1
boats and those whose hearts,5,1
to the third story,4,1
where dwell,2,1
day they encompassed the,4,1
nation was found amongst,4,1
people gave much praise,4,1
kinsman of stephen reached the,5,1
assembled there to celebrate,4,1
rather with our,3,1
all the products of their,5,1
therein and took them for,5,1
commercial city in america,4,1
the paper,2,1
get them into their vessels,5,1
king were commanded by two,5,1
afraid and that they knew,5,1
caleb and,2,1
was jefferson who had been,5,1
and the whole michigan,4,1
faintly glittered in the light,5,1
went away from,3,1
whence leaving chili to the,5,1
he had declined to,4,1
with five,2,1
not be sufficient the,4,1
the youthful,2,1
communed a long time with,5,1
therein were not many,4,1
state over which he presided,5,1
on board the chesapeake,4,1
ancient palestine,2,1
would he not move on,5,1
that opened their mouths,4,1
the city and scattered,4,1
their chief captain whom they,5,1
interpretation although it wounded the,5,1
the loss of the men,5,5
moreover the great was pleased,5,1
great who,2,1
bind up their wounds,4,1
by livingston,2,1
which the command of the,5,1
narrows which to the south,5,1
whose was cambridge,3,1
deep she,2,1
battle and the,3,1
in their strength,3,1
the laughter of others,4,1
moreover about,2,3
gallant perry leap into his,5,1
of the same month early,5,1
to slay him for,4,1
people throughout the,3,2
upwards,1,1
on your swords and,4,1
the battle and his,4,1
of columbia with impunity,4,1
the frailty of,3,1
now the host of,4,1
forth their thunders against the,5,1
after william a,3,1
a princely ruler and all,5,1
lake the gallant scattered destruction,5,1
smiles,1,1
the brow of columbia,4,1
a brave man,3,7
the scorpion and the tigress,5,1
time to weep,3,1
and gave him medals with,5,1
again the work of,4,1
same that had been taken,5,1
them with great slaughter,4,2
first to break the,4,1
war inasmuch,2,1
to each band and they,5,1
of the same month,4,18
prince,1,8
of britain weighed,3,1
wards the,2,1
third day,2,7
all the earth and,4,1
of arms rung,3,1
in their attempts,3,1
was at the,3,1
land the place of our,5,1
then chauncey,2,1
of their mighty army,4,1
battery upon,2,1
dark forest,2,1
to the fort they,4,1
whose name was lambert,4,1
of the frigate,3,2
make a covenant with you,5,1
and they prophesied,3,1
death fell upon,3,1
an thither in safety,4,1
put them as a shield,5,1
was as the,3,6
burning and pillaging and all,5,1
great law of,3,1
so whilst david was,4,1
columbia in those,3,1
the wrath of the,4,2
the phoebe,2,2
the tigress,2,1
counsellors of britain heard,4,1
fine country and,3,1
battle but the heart,4,1
of the wild,3,1
caleb mightily and,3,1
happened about the,3,2
made stories to,3,1
britain hemming him in,4,1
men of harrison with,4,1
eaton fought and erected the,5,1
were hemmed in,3,1
went out to catch the,5,1
that they might be refreshed,5,1
columbia lost in all,4,1
yea she had forgotten herself,5,1
pass on the appointed,4,1
plead for them the servants,5,1
were with the blood of,5,1
been written by the,4,1
his men slain and maimed,5,1
conquer them even to,4,1
a vessel was built,4,1
her folly if,3,1
as a foolish,3,1
overcame them so that only,5,1
evils rose up,3,1
witchcraft and,2,1
his men and went against,5,1
and the fame thereof had,5,1
of the boat and,4,2
record it in,3,1
eighth month when the,4,1
in so he drew,4,1
wool and leonard and distinguished,5,1
of men commanded,3,1
to deliberate,2,1
soldiers of the king came,5,3
in haste from,3,1
and she was called,4,3
he held,2,4
city before,2,1
thousand eight hundred and thirteenth,5,2
were little more than half,5,1
after which the fleet,4,1
great rejoicings,2,2
they were pleased,3,1
fulness of,2,1
their attack fort,3,1
inhabitants the servants,3,1
ships that were in,4,1
as he wrought their,4,1
but when the news,4,2
king were hard by a,5,1
the space of an,4,1
slaughter was dreadful and,4,1
received much damage,3,1
of his ship from taking,5,1
fulness of their pride and,5,1
whereby,1,1
out against him to,4,1
and deliberate,2,1
her had,2,1
to obey the laws,4,1
nevertheless the same,3,1
britain in whom,3,1
began the roaring noises of,5,1
snow of heaven,3,1
hot and perry saw that,5,1
trembled at the sound of,5,1
cubits and a half and,5,1
he turned his,3,1
cunning thing inasmuch,3,1
not within him,3,1
great number refused to,4,1
inheritance of your,3,1
of silver but at,4,1
the battle fighting,3,1
although as,2,1
years even those in,4,1
rich merchandise costly jewels,4,1
tents and,2,5
the den of lions that,5,1
at sandwich issues his proclamation,5,1
land of columbia round,4,1
which stephen,2,1
britain gnashed,2,1
columbia whilst they cried,4,1
because it,2,2
but the men of broke,5,1
him to surrender the,4,1
he fought bravely against,4,1
their bread and,3,1
blockaded,1,2
and the proud and,4,1
that a chief captain of,5,1
columbia was assailed on,4,1
william thanked,2,1
blockades,1,1
the sine qua non,4,1
the poor the sick,4,1
middle,1,1
furlongs from north to,4,1
a brave man he,4,1
and wherefore should,3,1
battle and two,3,1
he dreaded,2,1
man having a millstone,4,1
in the province of the,5,9
and their cunning are darkness,5,1
products of their country will,5,1
other on the,3,1
the sun was hidden by,5,1
build the,2,1
wise men called in,4,1
and passing through georgetown rested,5,1
their strength to make,4,1
sloop of war by,4,1
of the wise,3,4
captains whose was gibbs was,5,1
informed of the,3,1
him upon the,3,1
they were yet asleep,4,1
commanded by a chief,4,2
laughter of others would,4,1
subjects of the king,4,1
their noises and,3,1
major with their command treatment,5,1
were about six hundred,4,1
capture of the fleet and,5,1
heaven and recorded,3,1
being thirty days,3,2
who bad been,3,1
was covenanted in,3,1
night did,2,1
went against niagara,3,1
guy was,2,3
now whilst these,3,1
came to a place,4,3
their counsellors said lo,4,1
are oftentimes graven in,4,1
was pike were,3,1
of old whose,3,1
unprotected,1,1
the appearance,2,1
from the of kentucky,4,1
brig nautilus removal,3,1
the words thereof were in,5,1
go against a,3,1
gave up their,3,1
the north west army,4,1
movement of,2,3
dozen frigates,2,1
the banners of wellington the,5,1
place he moved with his,5,1
upon them and set,4,1
a blessing for it united,5,1
go on will be,4,1
the nineteenth day of the,5,2
their slain behind and more,5,1
refused to fight under,4,1
twenty,1,21
souls for the pride of,5,1
host of columbia who,4,1
into the camp of the,5,1
british frigate,2,6
were all moved out of,5,1
foul fashion of fighting,4,1
riches,1,1
in vain we,3,1
their coming was as,4,1
folly had,2,1
the wilderness of the,4,1
hard to quench the,4,1
demanded the men,3,1
the pleasant season of,4,2
cubits and the,3,3
mute their,2,1
the king proved faithless,4,1
on lake erie by the,5,1
on board a vessel of,5,1
of plunder whereupon a fishing,5,1
of his words,3,1
the streets of the,4,1
points of his weapons,4,1
harm happen unto thee,4,1
blown out,2,1
nought for,2,1
the inhabitants the servants,4,1
seven hundred of the servants,5,1
of the gauls where,4,1
ships of columbia,3,14
because he,2,1
leaving nine,2,1
the brow of,3,1
in the that,3,1
armstrong samuel,2,1
were sent,2,4
the next day when,4,4
destroyed the strong house and,5,1
brow of columbia,3,1
murderous cunning,2,1
he followed after the,4,1
they could unto the city,5,1
the mighty kingdom,3,1
sand oh,2,1
long island near,3,1
earth ascended to heaven and,5,1
was extravagant,2,1
of the king proved,4,1
the fifth fighting vessel,4,1
the ninth descendant,3,1
michigan territory his trial,4,1
wounded unto death and the,5,1
sand on,2,1
with fire,2,15
forth bombs and congreve,4,1
close after them,3,1
of the evil,3,2
of the river in the,5,1
of the people rejoiced,4,1
it were wheels within wheels,5,1
they moved up the great,5,1
the mischievous engines loose,4,1
for these evils decatur demanded,5,1
because as,2,1
with five hundred,3,1
covenanted in good faith,4,1
march the host of columbia,5,1
wellington the chief,3,1
half a score of,4,1
captain said unto,3,1
mourned for him many,4,1
city was,2,1
unto the whip as,4,1
and recorded the name,4,1
the sun when their noises,5,1
david found he was,4,1
about seven cubits and,4,1
neutral port,2,2
and rattlesnake captured,3,1
hindrance to the army of,5,1
in the darkness of the,5,1
the inhabitants the servants of,5,1
forward with,2,1
men were coma upon,4,1
the bones thereof being,4,1
slain and the wounded,4,6
republican,1,1
from sending,2,1
which the wise,3,2
barbarians were called,3,1
splendid arch of heaven,4,1
captures fort erie battle,4,1
threefold greater than the,4,1
the lawrence capture of,4,1
same time that the strong,5,2
courage and whose,3,1
the warrior the,3,1
called the president commanded,4,2
midday,1,1
great was,2,3
all the nations of,4,3
him by the people,4,1
british from before with great,5,1
whose name was coffee with,5,1
they were sufficiently,3,1
from a bow,3,1
tip on the waters of,5,1
quarters and taking,3,1
brock was the chief,4,1
of britain were arrayed in,5,1
asleep in their tents and,5,1
forth were entrapped at,4,1
their against the strong hold,5,1
the men of wax,4,1
britain he wrote to,4,1
to the haven of valparaiso,5,1
the men of war,4,13
of columbia sit down,4,1
he drove them,3,3
the soldiers of britain had,5,1
thirty and seventh year of,5,1
the free,2,2
but the winds were adverse,5,1
an ignorant stamp his,4,1
following day the army,4,1
of britain yielded not,4,1
and ferry and johnson and,5,1
and the wounded officers and,5,1
slain the,2,2
engines echoed to the,4,1
the chief magistrate,3,1
inhabitants of new,3,1
place called the ten islands,5,1
slain and more than,4,1
not hardened unto the whip,5,1
called militia commanded by a,5,1
great multitude of people,4,1
shore and went up,4,1
destroy the poisonous weeds that,5,1
richly,1,1
army came out,3,1
who was born in,4,1
great way,2,5
host of columbia was,4,2
the shivering soldier,3,1
the people profited,3,1
footsteps now the ships of,5,1
after which at the close,5,1
hull and burnt upon,4,1
moreover he spake well,4,1
after these things on,4,1
with the youth,3,1
was much hard fighting,4,1
of maryland and when he,5,1
a fishing boat,3,1
the world it began,4,1
had gone lo sleep,4,1
arrived before the city of,5,1
they came to near,4,1
be at rest and,4,1
were assembled there to,4,1
their departure was about five,5,1
britain were,2,23
the treaty which the,4,1
suddenly departed from the,4,1
columbia towards the south that,5,1
barbarians lying on,3,1
when winchester,2,1
their attempts to discomfit the,5,1
saved,1,1
a ball which,3,2
asleep for they met,4,1
twenty and four,3,2
go into the boats and,5,1
which move,2,1
even he who the,4,1
sorely grieved and,3,1
savages prepared,2,1
the great in their wisdom,5,2
warrior was,2,1
they beheld the,3,1
marched,1,1
wroth,1,1
wrote,1,3
if thou wilt give,4,1
the british from,3,1
the fort fought,3,1
as a man a dog,5,1
five slain and eight maimed,5,1
their wounds,2,2
smooth words many of,4,1
idle wind,2,1
shore and the,3,1
of brave men mingle even,5,1
before his chariot,3,1
unto thee the witchcraft of,5,1
doth the mighty,3,1
vessels in the night and,5,1
of prisoners major escape,4,1
expected to be joined by,5,1
saying now shall we set,5,1
deed was,2,1
they threw up and prepared,5,1
the fleet fell into the,5,1
arm in of,3,1
in the they,3,1
the people of columbia praised,5,1
upon certain chief captains who,5,1
the list of the brave,5,1
silver and brass and,4,1
times hath the striped,4,1
that went against the island,5,1
and smote their chief warrior,5,1
blew up in,3,1
and the balls of lead,5,1
new unto,2,1
the month pondered they in,5,1
gold and placed the destroying,5,1
own hands he,3,1
when they had committed all,5,1
place and with the fury,5,1
ninth day of,3,3
him forth,2,1
lord in the strength of,5,1
at by the cunning savages,5,1
opened his,2,4
and chauncey the commander of,5,1
foolish confidence and no one,5,1
much praise to,3,1
him forty,2,1
holds by,2,1
lifted high and,3,1
avon was two,3,1
the moan danced,3,1
on the eleventh,3,4
toil,1,1
him to surrender,3,2
men of columbia shouted,4,1
making captives,2,1
end and all,3,1
ball that issued out of,5,1
called the wasp met a,5,1
the capitulation of the,4,1
folly of britain was,4,1
the arrival of the,4,1
engine be let,3,1
a desolation and,3,2
fought on,2,1
the earth william whose,4,1
for safety for they,4,1
hand so that,3,1
britain went,2,1
was alexander now alexander,4,1
was shocking to behold,4,1
upon them they were clad,5,1
inasmuch as some of,4,1
of their men greater,4,1
king were five,3,1
fort george evacuated,3,1
might meet the,3,1
get into the strong,4,1
gibson and many other brave,5,1
although in,2,1
half their virtue,3,1
although it,2,2
wives,1,2
columbia a place where,4,1
the gladness of,3,1
valiant fell a ball,4,1
was moving out,3,1
anchor,1,2
dust that,2,1
past that,2,1
the the gallant,3,1
stain the or the tomahawk,5,1
columbia that the,3,1
had honor,2,1
not as did the,4,1
wrath of the savages whom,5,1
grievous thing inasmuch,3,1
make a league,3,2
king came with,3,1
persons ray the,3,1
capture of the lawrence capture,5,1
his countenance and,3,1
shouting hi,2,1
coffee with a strong,4,1
the president after the,4,1
peter was amongst the,4,1
forth balls,2,1
and the tigress two fighting,5,1
the meantime that and the,5,1
upon the spot where,4,1
the interpretation of,3,1
the prisoners kindly and,4,1
and after they,3,3
likewise the,2,3
hold of which nigh,4,1
were encompassed,2,1
lest he should be overcome,5,1
soldiers of the kingdom of,5,1
to join themselves,3,2
day that they might,4,1
ships of the united states,5,1
chief city of the barbarians,5,1
even five,2,1
so the same,3,1
were those who were called,5,1
about seven hundred soldiers,4,1
commanders of both,3,1
the from,2,2
captains appointed,2,1
servants and subjects of the,5,1
light was spread over the,5,1
took,1,27
and he violated the law,5,1
she was yet a great,5,1
sparing neither age,3,1
he made captain,3,1
hampton rested nigh unto lake,5,1
battle against the,3,5
received the thunder,3,1
in the of his,4,1
fought in,2,5
all loved him and,4,1
a lighted,2,2
canada the destruction,3,1
of the night and,4,2
unprotected villages which lie,4,1
them with boldness and,4,1
not behind,2,1
city name of the chief,5,1
the tidings for a truth,5,1
their bread and their wine,5,1
lords and the masters of,5,1
towards the,2,39
deep have suffered these feeble,5,1
hail upon the people,4,1
mingle even,2,1
the king at a,4,1
which more,2,1
employed in what his heart,5,1
had joined the standard of,5,1
boat and,2,3
the army of columbia be,5,1
forth a mighty fleet,4,1
called north point which,4,1
kept the men,3,1
began to fortify themselves,4,1
having his ship a,4,1
he essayed,2,1
a time to rejoice,4,1
unimpaired,1,1
unto caleb fear not for,5,1
destruction roared as the,4,1
with astonishment saying,3,1
knew thereof,2,1
that faintly glittered in the,5,1
interpretation of,2,1
the midday that the shouts,5,1
brave men that fought,4,2
tennessee militia under general jackson,5,1
and learning,2,2
tops,1,1
exceeding great joy inasmuch,4,1
war which she had waged,5,1
he raised his hand,4,1
fell upon the fishermen,4,1
were seized,2,1
pass that,2,27
nigh to each,3,1
yawning deep before they could,5,1
came with them,3,1
militia under major young the,5,1
ten thousand volumes,3,1
as the idle wind that,5,1
and distinguished themselves,3,1
warren and the men of,5,1
captain of the navy,4,2
country gathered together and,4,1
and keep holy that the,5,1
therein they,2,1
feast for the men who,5,1
torn,1,2
bade defiance to,3,1
dwell the,2,1
have suffered,2,1
them with their own hands,5,1
and there were many thousands,5,1
our little ones,3,1
not conquered,2,1
black dust that,3,1
the king became captives,4,1
states from the village,4,1
in the rear and,4,1
given unto them whole some,5,1
he was led,3,1
to guard their vessels,4,1
and they commanded them,4,1
afar one of the,4,1
a great city containing,4,1
and the war raged,4,1
departed to,2,3
wickedness thereof behold,3,1
after another until,3,1
columbia by the ships of,5,1
they loved their own father,5,1
of britain became jealous,4,1
upon them and,3,6
against fleet and,3,1
the provinces of the king,5,1
sailing boldly towards,3,1
the squirrel the,3,1
we establish ourselves upon the,5,1
more terrible than,3,1
the lord whispered into,4,1
him as they loved,4,1
could make him afraid and,5,1
of the army was given,5,1
unto william that,3,1
and the bravery of his,5,1
the slain and wounded about,5,1
the seventh day of the,5,2
and the wounded of,4,5
and the wounded on,4,1
houses and ail other,4,1
chandler and porter and,4,1
carried rich,2,1
sylph capture of,3,1
the maimed,2,7
captain was also slain and,5,1
same day a,3,2
the fort called,3,1
be joined by the,4,1
and the strength of britain,5,1
town,1,36
stained with the blood of,5,1
no man could,3,1
up then will,3,1
be ensnared upon the waters,5,1
rough waters more,3,1
with a,2,29
the compulsion of,3,1
the fishermen they were sometimes,5,1
his trial and,3,1
up their wounds and,4,2
victory over them they,4,1
burning coal to be,4,1
righting vessels of,3,1
fear not,2,2
a captain in the,4,1
territory were informed of the,5,1
the ship of britain and,5,1
place called nantucket in the,5,1
and the people were,4,1
city and scattered the,4,1
great knew thereof,3,1
hundred who were,3,1
took their destroying engines,4,1
thing did,2,1
moreover there was,3,3
the shedding of human,4,1
and overshadowed the field of,5,1
his bravery and his,4,1
was one slain,3,1
came to pass when harrison,5,1
tree of good,3,1
up the spirit,3,3
at rest and as it,5,1
yankee thinking they,3,1
the independent people,3,1
which on the south side,5,1
of georgia,2,5
army shouted aloud and the,5,1
vessels of columbia commanded,4,1
of britain were overcome,4,1
towards the rising sun,4,1
they moved from detroit,4,1
triumphed over them and,4,1
burning coal instantly into a,5,1
did he return,3,1
him a second,3,1
out of fort erie,4,2
the twenty third way,4,1
around in surprise and cried,5,1
of britain could,3,1
chosen men to,3,1
were more numerous than,4,1
band of chosen horsemen and,5,1
these waters encouraged the servants,5,1
and who dwell between the,5,1
wrong,1,1
sorrow throughout the land,4,1
stricken in years and must,5,1
approach he destroyed the fort,5,1
he had included miller,4,1
place he sent,3,1
the wilderness appeared,3,1
of indians massacre at fort,5,1
received in britain at first,5,1
although like other men of,5,1
the lord favored,3,1
against wickedness so did he,5,1
caught in a snare,4,1
now the valiant stewart,4,1
and burnt upon the,4,1
or account of it news,5,1
they partook thereof,3,1
had no amongst them,4,1
the counsellors of britain became,5,1
swords and their apparel,4,1
those of the vessel,4,1
riot whilst the,3,1
of his expedition,3,1
hath made,2,1
joshua barney who,3,1
his force,2,1
sun the vessels drew,4,1
so the great of the,5,1
against the host of,4,2
were revenged,2,1
strength was,2,1
thereof reached the ears of,5,1
make their towns a,4,1
he took and destroyed their,5,1
hour when its,3,1
thirty and five cubits,4,1
noise and spouted the water,5,1
tremendous was,2,1
had captured from,3,1
number of men to entrap,5,1
treaty was sent to,4,1
a feast for,3,1
few days before,3,1
barbary to,2,1
lamb preserved and the,4,1
of maryland,2,3
had slept with his,4,1
they were brave,3,1
these tribes were those,4,1
shekels,1,5
warrior who,2,1
the means of their numbers,5,1
him battle but,3,1
of columbia the one named,5,1
as the whole island,4,1
the poor wounded,3,1
rocky,1,1
heart sank,2,1
they came forth and,4,1
rocks,1,2
the face of the blue,5,1
one score besides,3,1
called after the name,4,2
towards the haven of valparaiso,5,1
men of columbia began to,5,1
sailed from the shores,4,1
and cast balls,3,1
the noise thereof,3,3
which many thousand,3,1
have fallen into,3,1
the smoke and,3,1
thereof was covered with,4,1
a vessel and,3,1
army of columbia be came,5,1
american squadron,2,1
pleasant season of,3,2
britain carrying each of,4,1
written in the word of,5,1
detroit in the,3,1
amazed immediately,2,1
there was much,3,3
as the roaring of lions,5,1
became captives to,3,3
a thousand flashes of,4,1
was covered with the,4,3
the welkin ring and,4,1
and tried warrior was made,5,1
the day about fifteen,4,1
beard the mighty lion with,5,1
of columbia in times past,5,1
no more among,3,1
war of britain came,4,1
than seventy thousand,3,1
and we are a numerous,5,1
resigns his command to,4,1
inhabitants,1,16
his triumph,2,1
absent about two,3,1
men of the great,4,1
they grieved only,3,1
another ship,2,2
which proctor sent a,4,1
was not dismayed although,4,1
and when the term,4,1
in great,2,5
bring,1,4
the wilderness of,3,1
defy the,2,1
day there fell,3,1
raised neither,2,1
motion and departed from,4,1
my hand,2,1
was led astray,3,1
of the king called,4,12
of their slain,3,2
patience and,2,1
power of,2,1
of columbia which was commanded,5,1
their towns a,3,1
shall rush upon,3,1
age have,2,1
as the whole,3,2
mitchel a citizen of new,5,1
chief warrior of britain and,5,1
five thousand from the state,5,1
battering rams their bombs,4,1
and upon the slaves thereof,5,1
in the time,3,1
men towards the,3,1
a good heart,3,1
and strove to dislodge,4,1
he presided,2,1
ingenuity of britain could,4,1
praise to shelby,3,1
lightness,1,1
also three hundred tents,4,1
rulers of britain,3,1
bade farewell,2,1
and seven of,3,2
thy forehead,2,1
your women,2,1
king spread over the,4,1
morris and and were other,5,1
became captive which was in,5,1
little villages of manchester,4,1
columbia saying even,3,1
ship called,2,2
to pass the next day,5,3
of the british frigate,4,3
brave met one,3,1
the alert sloop,3,1
macedonian the latter a,4,1
amongst them were called,4,1
other nevertheless jacob went out,5,1
fought in the days of,5,1
the officers communed,3,1
with death among,3,1
columbia be afraid and bow,5,1
year the men of,4,1
their oil and their,4,1
of israel down into,4,1
of their evil having through,5,1
the silver beams of,4,1
britain which was taken,4,1
horsemen,1,4
to invent were used,4,1
champlain between and montreal nigh,5,1
abundance inasmuch as,3,1
he passed along nigh,4,1
power to,2,1
compulsion of,2,1
and maimed who had surrendered,5,1
themselves before they put,4,1
might against the people of,5,1
halifax was of salem in,5,1
state of georgia,3,3
to the vessels of the,5,1
defend it moved,3,1
that noble and,3,1
to assail it now,4,1
unto him verily for,4,1
tremendous was the noise,4,1
that the waters of the,5,1
thereof to the nation,4,1
wounded even unto,3,1
lover of,2,1
by a captain,3,1
part of those who,4,1
of their engines were,4,1
day there,2,1
thunders were tremendous and the,5,1
for his goodness yea,4,1
his watch and,3,1
of by the british,4,2
enough to overcome the servants,5,1
forth their thunders,3,2
wickedness of britain in,4,1
would make,2,1
he was entrenched round,4,1
merchant vessels thereof was,4,1
because he attempted to go,5,1
sanction,1,1
engines and compelled him,4,1
sent out one,3,2
departed in,2,1
a certain brave,3,1
and and fraser and many,5,1
of britain in their,4,1
the men and the,4,2
scalping knife were raised,4,1
decatur and when they came,5,1
noisy drum echoed through the,5,1
the king captured the,4,1
there is one continual,4,1
familiar to the children of,5,1
many of the soldiers of,5,1
of slain and wounded to,5,1
nations beheld the fleet,4,1
news of peace being made,5,1
enemies of the king,4,1
liberty shall,2,1
this was a dreadful,4,1
and returned from erie to,5,1
their battlements lo,3,1
admiral slain and,3,1
taken by the men of,5,1
one of the scribes,4,1
were engaged having expired,4,1
adams and caledonia,3,1
had prepared herself to,4,1
encompass the whole,3,1
mercy the foxes,3,1
the offer,2,1
vessels treaty of,3,1
joshua remained in the,4,1
of the destroying engines of,5,1
before the village of pittsburgh,5,1
numbers as the trees,4,1
had not,2,2
to his own house so,5,1
prepared himself to assist,4,1
and burnt their villages and,5,1
the jay of the,4,1
insignia,1,1
moreover it happened,3,1
had abundance of curious,4,1
you therefore,2,1
years even at,3,1
invented many useful things,4,1
at the close,3,1
he had in trust,4,1
hard after,2,2
brigs,1,1
they put fire to the,5,1
war of britain came again,5,1
of the month was pitched,5,1
valiant men who were compelled,5,1
jackson great victory over,4,1
heard the,2,6
number of his,3,2
officers and men who,4,1
